year_month,age_group,high_ai,n_employed
2022-02,26+,1,1228809
2022-03,22-25,0,234933
2022-03,22-25,1,37423
2022-03,26+,0,2894496
2022-03,26+,1,1230316
2022-04,22-25,0,238942
2022-04,22-25,1,38074
2022-04,26+,0,2911381
2022-04,26+,1,1233996
2022-05,22-25,0,245148
2022-05,22-25,1,38982
2022-05,26+,0,2930860
2022-05,26+,1,1237793
2022-06,22-25,0,257511
2022-06,22-25,1,41542
2022-06,26+,0,2957642
2022-06,26+,1,1244261
2022-07,22-25,0,272341
2022-07,22-25,1,43789
2022-07,26+,0,2946526
2022-07,26+,1,1237668
2022-08,22-25,0,271346
2022-08,22-25,1,44191
2022-08,26+,0,2924164
2022-08,26+,1,1235684
2022-09,22-25,0,267858
2022-09,22-25,1,44686
2022-09,26+,0,2939141
2022-09,26+,1,1241521
2022-10,22-25,0,249218
2022-10,22-25,1,42635
2022-10,26+,0,2929756
2022-10,26+,1,1242007
2022-11,22-25,0,246377
2022-11,22-25,1,42284
2022-11,26+,0,2921076
2022-11,26+,1,1240587
2022-12,22-25,0,246707
2022-12,22-25,1,42510
2022-12,26+,0,2923620
2022-12,26+,1,1244435
2023-01,22-25,0,245129
2023-01,22-25,1,39794
2023-01,26+,0,2866996
2023-01,26+,1,1255034
2023-02,22-25,0,238031
2023-02,22-25,1,39009
2023-02,26+,0,2856938
2023-02,26+,1,1253269
2023-03,22-25,0,237893
2023-03,22-25,1,39077
2023-03,26+,0,2855923
2023-03,26+,1,1253458
2023-04,22-25,0,241678
2023-04,22-25,1,39851
2023-04,26+,0,2865913
2023-04,26+,1,1254566
2023-05,22-25,0,245217
2023-05,22-25,1,40059
2023-05,26+,0,2878222
2023-05,26+,1,1255724
2023-06,22-25,0,257631
2023-06,22-25,1,42739
2023-06,26+,0,2905036
2023-06,26+,1,1261263
2023-07,22-25,0,271646
2023-07,22-25,1,44703
2023-07,26+,0,2891977
2023-07,26+,1,1254976
2023-08,22-25,0,269973
2023-08,22-25,1,44889
2023-08,26+,0,2864572
2023-08,26+,1,1250886
2023-09,22-25,0,266196
2023-09,22-25,1,45467
2023-09,26+,0,2878771
2023-09,26+,1,1254533
2023-10,22-25,0,246823
2023-10,22-25,1,43270
2023-10,26+,0,2864097
2023-10,26+,1,1252683
2023-11,22-25,0,243556
2023-11,22-25,1,42901
2023-11,26+,0,2852726
2023-11,26+,1,1250806
2023-12,22-25,0,243203
2023-12,22-25,1,42979
2023-12,26+,0,2847316
2023-12,26+,1,1252622
2024-01,22-25,0,237303
2024-01,22-25,1,31907
2024-01,26+,0,2869108
2024-01,26+,1,1257614
2024-02,22-25,0,230461
2024-02,22-25,1,31207
2024-02,26+,0,2853672
2024-02,26+,1,1253836
2024-03,22-25,0,228977
2024-03,22-25,1,30988
2024-03,26+,0,2848822
2024-03,26+,1,1252058
2024-04,22-25,0,231125
2024-04,22-25,1,31120
2024-04,26+,0,2853467
2024-04,26+,1,1251223
2024-05,22-25,0,234143
2024-05,22-25,1,31135
2024-05,26+,0,2861613
2024-05,26+,1,1250183
2024-06,22-25,0,245495
2024-06,22-25,1,32625
2024-06,26+,0,2884706
2024-06,26+,1,1254324
2024-07,22-25,0,257521
2024-07,22-25,1,33905
2024-07,26+,0,2860879
2024-07,26+,1,1245223
2024-08,22-25,0,255346
2024-08,22-25,1,33565
2024-08,26+,0,2834569
2024-08,26+,1,1238664
2024-09,22-25,0,252053
2024-09,22-25,1,33241
2024-09,26+,0,2844361
2024-09,26+,1,1240029
2024-10,22-25,0,230329
2024-10,22-25,1,30682
2024-10,26+,0,2827129
2024-10,26+,1,1237567
2024-11,22-25,0,228058
2024-11,22-25,1,30391
2024-11,26+,0,2812959
2024-11,26+,1,1234621
2024-12,22-25,0,228502
2024-12,22-25,1,30709
2024-12,26+,0,2812368
2024-12,26+,1,1237006
2025-01,22-25,0,218413
2025-01,22-25,1,23079
2025-01,26+,0,2845346
2025-01,26+,1,1239701
2025-02,22-25,0,214761
2025-02,22-25,1,22872
2025-02,26+,0,2835114
2025-02,26+,1,1236662
2025-03,22-25,0,213433
2025-03,22-25,1,22693
2025-03,26+,0,2831476
2025-03,26+,1,1234436
2025-04,22-25,0,216231
2025-04,22-25,1,22946
2025-04,26+,0,2838247
2025-04,26+,1,1234642
2025-05,22-25,0,220350
2025-05,22-25,1,23156
2025-05,26+,0,2846555
2025-05,26+,1,1234099
2025-06,22-25,0,231706
2025-06,22-25,1,24580
2025-06,26+,0,2881976
2025-06,26+,1,1240292
